label,SCN1B
L_V1,0.9158589103457354
L_MST,NaN
L_V6,0.8766608541311784
L_V2,0.8566233478123221
L_V3,0.8463846839304534
L_V4,0.8084537326069148
L_V8,NaN
L_4,0.8521840520044832
L_3b,0.8616777097467576
L_FEF,0.693332800454829
L_PEF,0.8165454332618132
L_55b,0.76088791189596
L_V3A,0.8613686303730547
L_RSC,0.5729799061025196
L_POS2,0.8032575657653471
L_V7,0.7800695455184834
L_IPS1,0.9286677720114745
L_FFC,0.721609304149706
L_V3B,NaN
L_LO1,0.8968895645314059
L_LO2,0.8378268263358164
L_PIT,0.9436707898685593
L_MT,0.707742800451974
L_A1,0.7496176130705426
L_PSL,0.6748150217619892
L_SFL,0.6950806825460497
L_PCV,0.7308201636789852
L_STV,0.708830695262949
L_7Pm,0.7132284577388779
L_7m,0.7004643909956654
L_POS1,0.6550877228175159
L_23d,0.6538275904639927
L_v23ab,0.6193357341958925
L_d23ab,0.5824771860996147
L_31pv,0.6537817126522566
L_5m,0.7780896826240356
L_5mv,0.6550741086243537
L_23c,0.545873820678317
L_5L,0.7122484985280741
L_24dd,0.689021636598856
L_24dv,0.34384698008164677
L_7AL,0.6931485762577809
L_SCEF,0.6687649928252488
L_6ma,0.6433516940197597
L_7Am,0.7344161342247639
L_7PL,0.785610616184299
L_7PC,0.7946747337283802
L_LIPv,0.7958414933823357
L_VIP,0.7562489519120377
L_MIP,0.7572709543763316
L_1,0.8433263387218125
L_2,0.6812919327552597
L_3a,0.9003869098195405
L_6d,0.7922359664821478
L_6mp,0.7105752008131336
L_6v,0.7532073083722151
L_p24pr,0.3128261580382867
L_33pr,0.3440315479766355
L_a24pr,0.23318894275674207
L_p32pr,0.5058416266841984
L_a24,0.1815289451711248
L_d32,0.3694495782928441
L_8BM,0.5385920729741771
L_p32,0.15345088079514052
L_10r,0.40929186832524406
L_47m,0.7014447853022202
L_8Av,0.7037231885121825
L_8Ad,0.6083725654854255
L_9m,0.4528712927095233
L_8BL,0.6006651421119454
L_9p,0.5423161379771846
L_10d,0.4918620136836067
L_8C,0.6268487279332663
L_44,0.7100876391406153
L_45,0.6574633871124349
L_47l,0.6315759810238427
L_a47r,0.6062731374719309
L_6r,0.6175014255193301
L_IFJa,0.7138860263382336
L_IFJp,0.6665149861438526
L_IFSp,0.7285406846174403
L_IFSa,0.6595083873440991
L_p9-46v,NaN
L_46,0.6594713942184984
L_a9-46v,0.6092305739390201
L_9-46d,0.586958914332086
L_9a,0.6060255880968701
L_10v,0.4487716789151182
L_a10p,NaN
L_10pp,0.45870446447843893
L_11l,0.5162433001279537
L_13l,0.398043069285152
L_OFC,0.33674595923325273
L_47s,0.31326931193626456
L_LIPd,0.8360537067375463
L_6a,0.6684021067163457
L_i6-8,0.7182601399641801
L_s6-8,0.6239151503542872
L_43,0.7332932035673929
L_OP4,0.7595281130394059
L_OP1,NaN
L_OP2-3,0.6278945113233755
L_52,0.3474861103638287
L_RI,NaN
L_PFcm,0.9268149374763162
L_PoI2,0.3216867678271669
L_TA2,0.39407198715312325
L_FOP4,0.41490071382535204
L_MI,0.39376726598785217
L_Pir,0.2578977348794077
L_AVI,0.36976474831553446
L_AAIC,NaN
L_FOP1,0.599998332428882
L_FOP3,0.28225308893456014
L_FOP2,0.47403201597813316
L_PFt,NaN
L_AIP,0.7500924366288655
L_EC,0.32601706187303436
L_PreS,0.38228352405038973
L_H,0.36453769994899715
L_ProS,0.6364804920460139
L_PeEc,0.22627311382270202
L_STGa,0.33641539553930305
L_PBelt,0.7881405125218481
L_A5,0.5304237862731321
L_PHA1,0.6613570897488041
L_PHA3,0.5601668655622661
L_STSda,0.47080749422324386
L_STSdp,0.6941920645073267
L_STSvp,0.5338386846947534
L_TGd,0.3031788505122672
L_TE1a,0.4531292635965025
L_TE1p,0.5724330706156298
L_TE2a,0.44214194419119374
L_TF,0.41651849307868893
L_TE2p,0.5685384662790853
L_PHT,0.6328367819548205
L_PH,0.6255115383385356
L_TPOJ1,0.6375309525520382
L_TPOJ2,0.6937974931021729
L_TPOJ3,0.7712830807466924
L_DVT,0.7563431121915614
L_PGp,0.8068897700094947
L_IP2,0.7837324358645967
L_IP1,0.8260997777594626
L_IP0,0.8286442161922918
L_PFop,0.6742837597939833
L_PF,0.7148253787934395
L_PFm,0.7006347881156166
L_PGi,0.6387616819801492
L_PGs,0.7741025322545277
L_V6A,0.9085620932362019
L_VMV1,0.8059417669905935
L_VMV3,0.5993259287935281
L_PHA2,0.303156797108413
L_V4t,0.7518018014663403
L_FST,0.6815966143104054
L_V3CD,NaN
L_LO3,0.8076168268028745
L_VMV2,0.6063838648859425
L_31pd,0.6859971405347075
L_31a,0.6700966726861614
L_VVC,0.7423996650214275
L_25,0.18851950487333863
L_s32,0.2815893207850957
L_pOFC,0.24037296301990105
L_PoI1,0.3976167760819986
L_Ig,0.5698997681013014
L_FOP5,0.5406925333202296
L_p10p,0.674983992281896
L_p47r,0.642270645299528
L_TGv,0.39511921001356304
L_MBelt,0.7040521296026254
L_LBelt,0.798034367878817
L_A4,0.7320973858888515
L_STSva,0.5336871954863198
L_TE1m,0.5838248434396192
L_PI,0.22693773190805772
L_a32pr,0.2786047362885393
L_p24,0.33095902499918467
R_V1,0.9230658266897354
R_MST,NaN
R_V6,NaN
R_V2,0.8798649564798078
R_V3,0.9028971992345403
R_V4,0.8554127585114725
R_V8,0.7294148131932261
R_4,0.8239100521202565
R_3b,0.8571844457616995
R_FEF,0.7620251964514548
R_PEF,NaN
R_55b,NaN
R_V3A,0.9179492280277334
R_RSC,0.42289282551252894
R_POS2,0.8243033357345795
R_V7,NaN
R_IPS1,0.8262204491035926
R_FFC,0.7376554257819754
R_V3B,0.882410791328711
R_LO1,NaN
R_LO2,NaN
R_PIT,NaN
R_MT,NaN
R_A1,NaN
R_PSL,0.6838345874926444
R_SFL,NaN
R_PCV,0.5611150951071932
R_STV,0.6805129157252863
R_7Pm,0.7749343989229334
R_7m,NaN
R_POS1,0.6939458955430082
R_23d,NaN
R_v23ab,NaN
R_d23ab,NaN
R_31pv,0.6803824633757365
R_5m,NaN
R_5mv,NaN
R_23c,0.6017617482292721
R_5L,0.7478800029477978
R_24dd,0.7253592768240552
R_24dv,0.5853938422508641
R_7AL,NaN
R_SCEF,NaN
R_6ma,0.655104388605083
R_7Am,0.6502173667888561
R_7PL,NaN
R_7PC,0.7445023038486271
R_LIPv,0.8155237784503563
R_VIP,NaN
R_MIP,0.8182927008768769
R_1,0.8459029620199401
R_2,0.7079242812472992
R_3a,0.7695070332458547
R_6d,0.8018671231974934
R_6mp,0.7366737703005226
R_6v,0.685155332250159
R_p24pr,NaN
R_33pr,NaN
R_a24pr,NaN
R_p32pr,0.5593740752196389
R_a24,0.20985758181482775
R_d32,0.32217954070634314
R_8BM,0.6336236284204334
R_p32,NaN
R_10r,NaN
R_47m,0.6964010520942076
R_8Av,NaN
R_8Ad,0.6561118611011598
R_9m,0.4751928580872132
R_8BL,NaN
R_9p,0.5285828288997414
R_10d,0.4534261113486448
R_8C,0.7355436160961926
R_44,0.6537652140062047
R_45,0.6519713132439513
R_47l,0.5501862549180078
R_a47r,0.4719493909538894
R_6r,0.7709939731934665
R_IFJa,NaN
R_IFJp,NaN
R_IFSp,0.7821455913117892
R_IFSa,0.7495048707622051
R_p9-46v,0.6686071606549121
R_46,0.5155486093430244
R_a9-46v,0.7094400637568475
R_9-46d,0.5062639659884648
R_9a,0.7063947779408681
R_10v,0.4353160037700201
R_a10p,0.6011217631450505
R_10pp,0.4556159297313724
R_11l,0.5286825410337557
R_13l,0.3614135162488634
R_OFC,0.39390603669332214
R_47s,0.21614627372443732
R_LIPd,NaN
R_6a,0.6707020824047483
R_i6-8,0.6929369502347404
R_s6-8,NaN
R_43,0.6406170279800848
R_OP4,0.6596778332390162
R_OP1,NaN
R_OP2-3,NaN
R_52,NaN
R_RI,0.858381592260803
R_PFcm,NaN
R_PoI2,0.2921151568084965
R_TA2,0.5937553454107252
R_FOP4,NaN
R_MI,0.28543329411260887
R_Pir,0.24587019008130329
R_AVI,0.44544902681925824
R_AAIC,NaN
R_FOP1,NaN
R_FOP3,NaN
R_FOP2,NaN
R_PFt,0.7638790122416004
R_AIP,0.7946974814309858
R_EC,0.19487445634833406
R_PreS,0.3670691255244836
R_H,0.35905439386322163
R_ProS,0.4710429846587613
R_PeEc,0.23619858027608587
R_STGa,0.3365176477409748
R_PBelt,0.820812173051156
R_A5,0.6462998971208069
R_PHA1,0.3809709261121521
R_PHA3,0.5694877984454789
R_STSda,0.41961948438068963
R_STSdp,0.5887800210663223
R_STSvp,0.7012195573950297
R_TGd,0.32390412179056477
R_TE1a,0.4629489646144943
R_TE1p,0.6048503790238635
R_TE2a,0.4013734380203245
R_TF,0.4438001754029947
R_TE2p,0.5617098035272936
R_PHT,0.5087679237550135
R_PH,0.7658703606377657
R_TPOJ1,0.7119808693899417
R_TPOJ2,0.7978524839085133
R_TPOJ3,NaN
R_DVT,NaN
R_PGp,0.7482378141459942
R_IP2,0.7939640342810032
R_IP1,0.850168389039024
R_IP0,NaN
R_PFop,NaN
R_PF,0.5271866933360134
R_PFm,0.6947172400206658
R_PGi,0.750520487361992
R_PGs,0.8294989521716195
R_V6A,NaN
R_VMV1,0.56581094948791
R_VMV3,0.7614524627578174
R_PHA2,0.4268364518192939
R_V4t,NaN
R_FST,0.7214581510448508
R_V3CD,NaN
R_LO3,0.8348488364099479
R_VMV2,0.8180708898594053
R_31pd,0.6436842115715606
R_31a,NaN
R_VVC,0.5208110176299471
R_25,0.1765472700765937
R_s32,0.3751958058500513
R_pOFC,0.35836326336906715
R_PoI1,0.44376132457431056
R_Ig,NaN
R_FOP5,NaN
R_p10p,0.5700228630274651
R_p47r,0.6649088333229811
R_TGv,0.3182006258631842
R_MBelt,0.8781990115207442
R_LBelt,NaN
R_A4,0.6245716949402338
R_STSva,0.4473137715277752
R_TE1m,0.5016340660947108
R_PI,0.38127458311206197
R_a32pr,NaN
R_p24,0.43971162825718935
Laccumb,0.08240387922780672
Lamyg,0.22517990806566793
Lcaud,0.2536784291635727
Lhippo,0.3918644867545716
Lpal,0.311558006174716
Lput,0.28588492395888776
Lthal,0.5239969794717007
Raccumb,0.14867867720568684
Ramyg,0.07718881818570664
Rcaud,0.32566205325737935
Rhippo,0.3682675321871698
Rpal,0.5025499199042741
Rput,0.33437186230895494
Rthal,0.5569491226549876
